adv_policy_vf,eplenmean,eprewmean,pro_policy_vf,test reward
772.1632,30.47761194029851,-59.47214628474642,755.1606,-56.8
250.48376,39.71,-53.174009540202526,245.07487,-52.92
273.71103,43.38,-49.13998222556081,265.04102,-47.8
228.79413,35.14,-53.82804504859206,230.95023,-52.86
210.26439,39.2,-52.08685877224524,208.19757,-45.48
259.6439,41.27,-48.89216055100055,255.88264,-48.68
235.14078,39.08,-47.016410897437574,221.5442,-61.62
132.39081,46.6,-43.130652870906815,129.61217,-49.26
244.35419,41.88,-51.95872871803866,241.17775,-57.4
111.39355,36.24,-57.33587276806739,102.38965,-47.58
158.95607,43.3,-52.34064800232466,163.54945,-37.18
113.2243,40.82,-49.454372571993865,103.42668,-43.2
178.79428,37.28,-47.58496364029982,173.13446,-49.3
166.85507,41.86,-41.79370072902512,164.66356,-38.4
126.46404,42.32,-40.2881381740725,129.21211,-53.94
120.85654,40.57,-46.87755553145162,136.54987,-42.54
104.97586,45.59,-43.45223319491449,109.43553,-52.8
71.08775,49.56,-42.61586615727847,77.698944,-61.68
90.22966,50.4,-37.73996151241984,90.96207,-55.54
109.48232,46.2,-42.12793299891097,112.314835,-74.9
148.07373,47.21,-48.057110760491994,144.12666,-69.94
132.35532,44.52,-53.82540894124759,161.67543,-75.34
37.815025,40.44,-63.91363778485545,40.225365,-77.38
42.95895,40.31,-72.49133122449612,40.230675,-73.02
43.21093,38.85,-72.10295415543027,52.177414,-65.58
116.22752,34.71,-63.8188486723011,132.25629,-78.92
60.433537,35.05,-68.2328726582565,66.44454,-73.3
67.8084,38.46,-74.99216333624196,70.39541,-78.22
11.489358,38.4,-78.4642609819667,9.902534,-77.76
66.97177,36.28,-77.58913909251444,68.97037,-78.1
56.651665,37.95,-75.28937810067076,60.197365,-77.14
77.423035,40.3,-73.79642254604842,91.44207,-79.6
62.697952,39.24,-70.07940828441994,65.823524,-78.14
80.57661,40.87,-63.63031203235057,88.31192,-70.46
91.884636,39.68,-63.653578459834435,95.694046,-75.14
30.51429,38.14,-72.83526407114236,31.941145,-68.26
55.939125,36.26,-69.98104821171947,55.633263,-62.76
71.41436,35.49,-66.91204270850821,81.23606,-64.24
96.88063,34.64,-61.53561854672451,95.49904,-56.44
111.43343,36.55,-54.88174801185497,110.591354,-54.44
113.02714,39.05,-47.456108510084434,132.99895,-45.2
144.04868,41.59,-39.00260084005007,154.37416,-25.44
116.06243,42.68,-39.09980698757388,130.78784,-33.46
116.12329,37.23,-50.474155072567356,118.90493,-54.98
118.374596,38.2,-56.531743101571635,140.01894,-65.58
75.92687,36.93,-60.283943996603455,72.141,-53.78
62.83383,37.82,-63.77830942292481,67.21934,-61.3
49.889744,39.45,-65.5623049423831,54.870792,-50.72
108.16577,39.86,-56.298341499665156,112.88729,-61.04
120.68729,41.02,-39.54198696678731,135.13118,-53.06
72.50356,46.32,-39.68924912381952,89.75524,-47.32
103.63067,46.26,-41.79520816817747,109.86957,-62.3
86.41038,43.6,-50.015354760109055,84.812805,-55.46
93.53808,44.48,-53.59730409276212,100.77464,-39.56
97.98387,48.39,-52.0786994383902,100.00268,-37.26
72.78834,49.42,-45.977239383790035,79.68694,-41.36
97.16058,50.0,-43.7154496830223,95.43376,-32.88
66.84421,54.35,-33.730543695287444,67.77255,-37.8
60.010727,58.56,-26.217933661282615,60.192463,-20.68
78.04759,56.97,-20.40643840533167,105.91141,-20.64
47.532288,58.03,-22.03467840254239,52.24766,-37.34
58.153893,57.11,-22.396772563067383,69.05989,-11.84
67.87422,58.86,-15.792583867880007,77.42859,-9.76
107.83036,56.94,-9.792696487406074,114.57477,-21.78
56.938633,55.68,-15.72548699738757,78.692665,-12.62
94.61326,60.61,-7.628060082856085,89.477234,-6.8
34.45158,63.27,-7.057935575945582,40.27574,-20.56
48.4218,65.36,2.1306862913240847,51.350044,-4.58
28.914368,60.6,0.900468849465056,30.238451,-5.64
45.11363,57.79,1.6107860274765926,60.334938,-5.16
20.910492,58.04,3.7209857679302747,22.358116,-10.96
41.17962,59.96,6.244228918281757,45.797234,9.0
58.61651,59.4,9.030039430134288,61.353783,-6.12
24.956211,61.13,6.873348848854869,22.180803,-1.78
33.763165,61.2,2.9628868195909788,27.54901,0.4
23.060907,62.12,-0.0636245462608538,20.94517,4.76
31.014137,62.26,5.548262871390559,33.20108,6.64
14.060607,64.23,13.41069988990041,15.780638,5.1
11.700831,65.05,17.300797523905615,14.392485,10.14
13.054798,64.5,13.371953457815385,11.37815,2.1
25.41458,63.94,12.850537487558313,32.581673,9.82
18.638355,64.39,14.05684956378356,15.925911,14.28
10.077792,65.23,19.981964564408887,10.412561,6.9
7.8592677,65.72,20.837145462589582,7.226307,12.34
44.75623,63.94,19.9092268860936,49.53466,9.96
10.465882,65.04,17.482107761784167,8.940962,15.86
16.962374,64.49,19.61280957054342,16.175827,15.1
7.576139,65.73,24.89012873062798,5.880886,6.52
14.676399,65.27,26.72551006906485,12.340435,14.96
7.1523986,65.62,28.999602120814494,6.8239107,9.24
31.183222,64.15,26.340992931785713,29.042467,14.46
18.15815,61.79,20.22045758513454,14.311766,12.64
10.284443,61.43,19.126414896808384,9.860345,11.96
10.209328,61.69,21.92031958286871,9.61803,14.52
24.7787,61.34,29.261041332682503,22.058714,16.94
12.651933,61.57,31.694456424581123,10.453889,25.66
12.491615,61.3,31.733191690393177,16.59161,18.44
24.934591,61.41,32.591163077717994,30.029427,22.38
10.612439,60.56,32.97684251813805,8.505082,16.7
6.222376,59.85,31.959818744070887,7.0045915,25.9
4.9141583,61.65,33.30627339061955,4.8996496,23.14
14.226788,61.28,33.660434301677164,9.774292,13.9
43.468113,60.07,26.151943614059654,30.189985,16.28
79.69331,55.88,13.898581705545341,80.22161,26.1
23.520044,57.27,14.694241431151088,17.776814,21.38
23.137321,57.88,21.107057034853252,23.947033,25.46
11.925246,59.85,33.83766677381385,10.926232,31.38
10.78941,59.38,31.092356694633004,9.916457,28.12
5.970689,60.39,33.74978126196733,5.186988,25.0
7.4282455,61.26,33.23343920184243,5.8458004,24.28
10.107643,63.78,34.73875584299208,9.459724,19.5
5.360826,64.42,34.09759360657792,5.5640984,25.12
5.4635916,65.84,34.810879933554354,5.12359,25.52
5.080305,65.31,36.63059222162258,5.1867414,31.02
4.5450296,63.59,37.37531626196157,4.696415,33.14
4.4281073,61.53,38.44782828706124,4.44801,20.56
30.887777,58.69,37.947739805538646,18.563215,30.6
4.7350307,59.15,37.69774132168476,4.4769845,30.84
4.798109,59.43,37.7466866026502,4.726743,30.88
17.530169,60.23,37.14540326953345,21.388432,25.6
6.5653515,59.65,37.568399625986004,6.084133,30.74
3.983088,59.45,37.48602168619018,3.943003,28.94
3.8241856,60.23,39.87253883748426,4.1129875,31.06
3.9916198,60.17,39.62841188731827,4.272743,29.14
28.345573,57.46,35.76589454597929,18.813492,29.26
17.407284,56.15,33.71367440827717,20.022493,30.1
13.387087,56.72,33.273839035263926,14.872284,29.88
5.4198513,59.04,37.10866027316213,4.8656626,29.74
15.550402,58.16,37.62020210233331,10.086286,30.26
7.022358,57.2,38.36546757762502,5.837049,28.06
21.419996,56.74,38.34314304817764,15.319694,28.74
21.874065,56.11,38.49443698382719,22.149048,16.8
72.71942,53.94,31.887541978089484,54.78689,-16.72
107.087105,52.58,21.32658770463575,110.654976,34.3
43.9148,54.12,17.35477475393809,38.725224,28.08
10.451648,56.22,29.166783968493313,7.7279243,24.48
15.816454,57.32,35.264101041599154,16.281254,30.32
4.866922,57.57,39.726558305619484,4.5355716,28.66
18.999535,57.18,35.85520657953143,14.225718,25.98
25.173065,57.4,34.48782533611999,21.65017,26.7
40.69771,57.46,34.10568953821834,39.472847,29.52
9.360179,57.23,35.621509369405366,7.060601,29.66
5.0927863,57.77,38.34481615316321,5.2484045,26.2
10.089516,58.8,37.850451101224515,9.999883,27.3
4.804374,60.25,36.58043404733598,5.166439,31.44
4.5232296,61.3,35.682723100386546,4.718085,26.02
