adv_policy_vf,pro_policy_vf,test reward
24.903168,23.039497,45.96
6.3882704,6.334724,46.04
7.5896707,7.83828,58.12
14.820368,14.810711,66.0
16.887156,16.727596,84.3
26.446415,26.249434,86.58
57.860817,58.2964,105.04
65.07826,64.868195,98.88
79.82787,81.64916,105.68
98.02475,96.589966,116.78
85.13568,93.60175,134.34
109.465996,112.22329,123.9
78.05572,76.70272,113.5
65.92665,63.955116,124.92
82.032425,81.645386,130.38
64.94574,61.92212,131.02
109.81461,110.372795,135.94
75.028625,73.257614,135.52
59.33762,55.85405,145.4
50.571335,50.0719,137.22
100.09841,100.144424,148.9
120.62323,122.02876,146.8
79.22782,79.65484,160.36
75.47326,75.491135,168.2
80.70403,80.00739,178.22
49.444534,49.72698,176.3
115.507774,115.379585,185.12
85.630264,85.42099,184.2
85.057945,84.986786,178.66
127.68354,125.826324,186.42
81.693535,80.311966,168.8
65.34863,65.35097,162.36
61.63327,62.024044,165.48
42.712738,42.660427,149.88
68.31077,68.916885,160.26
67.37169,68.50856,159.86
55.65565,54.220413,165.02
57.255417,57.74903,165.18
79.463585,81.30394,165.78
67.60847,66.30473,179.98
49.603806,49.679146,173.28
54.192352,53.232296,166.12
62.970104,63.18337,173.84
70.59693,69.81086,185.02
75.98793,76.61526,177.9
78.67568,77.99894,183.76
74.20926,72.39606,180.02
78.000496,78.21925,180.12
56.427937,54.209343,183.5
36.848763,36.374916,181.68
30.27118,29.154335,189.56
79.321976,76.25068,188.34
63.627937,64.74245,184.44
47.797726,48.16758,187.06
39.55499,39.453236,187.02
64.85676,66.01826,182.14
59.450565,63.15188,181.2
65.40783,63.759735,178.98
69.27195,68.66887,174.78
70.174286,70.35259,174.5
43.05423,42.272854,174.9
83.54926,83.16005,181.24
71.41038,73.06351,180.2
60.33989,61.970818,169.94
78.071144,79.116104,172.7
92.186386,91.51329,164.3
46.583878,45.330563,172.98
82.13156,78.62793,168.46
41.232082,43.043507,170.62
81.3015,80.80066,164.26
100.65348,101.79199,164.52
50.169052,47.88381,166.78
54.874165,56.78231,159.74
65.3876,64.925705,173.2
76.72345,76.1654,159.06
60.421604,58.54508,166.58
75.30481,75.246025,164.48
41.918365,43.81246,168.0
76.51031,78.04378,164.24
55.272858,54.93929,160.46
51.455868,54.660206,165.16
49.370945,49.49968,163.96
84.04409,82.82489,159.52
63.808105,62.95775,166.18
81.220184,78.88132,165.88
48.492188,49.915123,167.4
116.98003,112.30499,170.94
64.13752,65.01575,174.44
42.951347,43.790962,167.7
56.32592,55.951427,176.18
70.22997,68.65618,161.26
54.95978,53.839943,165.28
75.14114,73.49298,166.42
53.42915,50.835567,170.18
35.2545,36.974747,162.34
67.20159,65.85166,168.04
46.702663,47.982452,165.94
35.970757,37.22506,169.16
105.755585,107.91399,171.72
53.498707,54.21105,173.32
39.980762,39.31422,172.68
65.72823,66.45055,180.36
56.321213,54.75303,183.68
37.264927,38.717937,185.06
40.453144,39.989895,183.92
54.337734,52.56964,191.48
64.543274,62.174328,187.68
53.5607,51.31016,190.6
75.31942,72.69231,190.02
56.035923,52.570118,186.86
85.07382,84.86711,184.4
63.381622,60.796604,188.56
55.310852,54.022167,189.68
52.29649,51.15436,188.5
50.206867,50.143677,191.74
52.04286,51.874115,191.64
72.77629,72.87541,193.74
65.322716,56.605186,195.32
85.83702,85.8829,192.2
25.287268,25.622341,193.08
81.82447,77.85823,193.74
48.126167,44.84445,193.08
48.934746,48.232006,190.36
47.74609,44.771328,193.46
42.01199,43.024017,188.28
54.483143,49.84836,191.3
46.839806,47.218582,190.84
