adv_policy_vf,pro_policy_vf,test reward
468.70697,472.37363,-27.6
418.76926,414.49963,-32.96
396.19968,394.31036,-27.88
394.80814,393.07153,-42.84
365.16284,362.45874,-41.52
338.65988,333.1107,-22.84
330.8023,328.9505,-30.2
330.81396,330.19336,-29.14
258.16684,245.9347,-20.8
211.42892,203.6268,-28.86
218.34023,207.9407,-26.18
163.19998,151.55113,-6.1
190.30048,178.42177,-10.82
116.57981,108.70923,-28.5
111.99805,107.50134,-15.38
137.51547,134.54817,-16.38
97.63438,93.425476,-20.2
91.992134,79.25309,-11.96
103.24017,100.641914,-26.28
69.190796,63.807648,-30.34
90.87252,90.64148,-26.02
67.157555,68.32948,-20.34
94.0003,89.50325,-17.26
46.481983,45.051697,-16.54
63.705326,64.872536,-14.18
35.850037,34.939793,-9.78
65.338066,61.697815,-5.44
91.455574,87.01755,-19.44
41.115307,38.26306,2.92
32.007675,30.402029,-18.68
29.72345,26.41309,-10.32
38.100216,35.400265,-4.8
48.181408,48.886032,-17.46
37.208782,34.30482,-3.08
50.837242,55.372257,-7.06
57.50937,56.83953,-12.36
56.818012,54.159214,-7.06
42.76449,41.415478,-7.44
24.781448,24.426048,-3.98
27.44165,30.706572,-7.38
39.799866,39.15176,-4.48
47.100266,49.65862,-5.6
66.96984,69.771126,-8.08
53.347107,51.425217,1.4
47.11702,51.360107,-0.52
59.522224,57.818645,-16.24
35.1237,33.40773,-13.18
35.375626,30.677532,-1.44
50.30662,47.366463,-21.26
38.26524,36.960835,0.3
69.54136,68.95015,-7.96
47.52411,46.674583,-15.78
48.129246,49.631966,-13.5
74.96765,79.36208,-21.34
55.04224,55.408913,-37.06
47.545452,44.029186,-24.66
42.700962,42.86441,-21.1
40.708466,38.29704,-43.9
44.92095,42.40676,-27.5
48.28846,48.603806,-39.56
60.639294,55.735218,-58.56
58.768944,58.635693,-65.04
62.463673,53.977776,-54.94
43.533073,38.245678,-73.64
59.108517,65.21092,-76.58
49.1336,46.736866,-84.84
53.141277,49.88698,-74.62
70.16828,65.211685,-75.02
40.80241,38.70542,-90.76
46.323547,39.86098,-89.38
38.3696,36.49497,-88.28
53.76206,44.201504,-90.1
41.504097,40.29424,-90.5
40.06627,38.548527,-94.56
29.24737,29.51523,-86.18
36.18543,36.31172,-91.78
38.658585,37.636787,-91.26
29.528727,28.692682,-88.84
34.601894,33.9159,-89.64
27.084616,26.423191,-91.4
35.040104,34.16982,-85.98
35.79542,34.887,-89.14
38.295826,36.10193,-89.82
41.55796,41.676575,-89.16
39.578598,39.478966,-89.28
46.724857,46.521492,-88.8
47.635323,48.782715,-86.32
29.954771,30.135008,-89.98
33.38749,34.310734,-90.0
25.753195,25.897184,-87.78
33.520477,32.21713,-89.66
25.777683,25.798649,-90.02
30.053192,29.273527,-89.84
29.144379,27.0078,-85.58
25.773088,25.540968,-91.5
27.301092,27.066763,-87.84
27.5437,27.510887,-90.4
26.104002,26.862816,-90.04
28.454262,28.671663,-89.2
30.301275,30.193686,-86.8
32.93704,32.769695,-87.4
36.53048,36.29037,-89.0
34.707676,34.903908,-88.52
38.37956,37.732872,-87.6
34.307278,34.341347,-87.72
29.827831,29.775637,-87.64
27.611517,28.146948,-85.88
39.038956,38.16105,-88.64
32.092205,32.486618,-87.1
31.449629,30.85696,-86.04
30.322298,30.288858,-87.78
27.128777,26.380806,-86.7
35.045437,34.54106,-89.4
26.22184,26.157503,-88.54
29.461948,29.31535,-87.72
36.473026,35.528873,-87.0
32.32489,32.450726,-87.2
39.115692,39.428345,-87.24
35.897285,35.860966,-87.36
30.333076,29.708569,-88.2
27.834782,25.727072,-84.92
30.788313,30.259132,-83.04
32.346992,31.242926,-85.58
30.721046,30.672298,-86.24
26.819134,26.614397,-84.32
30.664438,30.076216,-86.26
29.416428,29.012104,-86.6
25.873688,25.448727,-84.1
26.415478,26.09002,-85.4
29.199638,29.009367,-87.62
30.60411,30.567036,-87.22
35.32206,35.508118,-84.4
33.65584,33.289455,-85.98
35.21364,34.110874,-86.8
28.608389,28.521177,-87.62
32.93589,33.120895,-86.44
35.118534,34.574863,-84.9
30.549837,30.64426,-87.6
27.552462,27.632648,-84.52
23.909088,23.924183,-86.4
28.266666,28.661139,-84.4
30.193874,30.007874,-86.8
32.520927,32.63333,-85.3
24.5341,24.280628,-84.4
29.003946,29.078,-87.2
29.574919,30.644686,-85.0
27.586731,26.753231,-87.96
24.02888,24.52719,-85.2
24.64391,24.528801,-87.0
26.227467,25.623032,-87.4
27.198734,27.069334,-86.6
26.878635,26.7995,-85.4
26.902452,26.906422,-86.62
26.484713,26.434267,-85.24
22.78949,22.971516,-85.8
26.568954,24.310827,-86.4
28.333952,29.79369,-90.0
25.81567,25.493662,-85.2
32.074387,31.801702,-86.6
